NM,DATE(GAME),OPP,PITCHER,DEC,IP,BF,NP,H,HR,SO,R,ER,BB,IBB,HBP,AO,GO,ERA,CG,SHO,NBB,BS,NP2,S,SB,WP,BK,PO,A,DP,TP,E,PK,Unnamed: 34,DATE,GAME,WHIP
陳鴻文,04/14(4),中信兄弟,後援,"
																								救援成功
															
															
						",1.0,5.0,18.0,1,0,1,0,0,1,0.0,0.0,2.0,0.0,0.00,0.0,0.0,0.0,0.0,18.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-04-14,4,
索沙,04/14(4),中信兄弟,先發,"
															勝
															
						",7.0,26.0,111.0,4,0,5,1,1,1,0.0,0.0,9.0,7.0,1.29,0.0,0.0,0.0,0.0,111.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-04-14,4,
謝榮豪,04/14(4),富邦,中繼,"
																								無
															
															
						",0.6666660000000001,5.0,19.0,2,0,1,1,1,1,0.0,0.0,1.0,0.0,13.50,0.0,0.0,0.0,0.0,19.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-04-14,4,
德保拉,04/14(4),富邦,先發,"
															敗
															
						",7.0,28.0,117.0,5,1,6,2,2,2,0.0,0.0,5.0,10.0,2.57,0.0,0.0,0.0,0.0,117.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-04-14,4,
蔡齊哲,04/14(4),富邦,後援,"
																								無
															
															
						",1.3333330000000003,4.0,11.0,0,0,1,0,0,1,0.0,0.0,0.0,2.0,0.00,0.0,0.0,0.0,0.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-04-14,4,
林羿豪,04/14(4),中信兄弟,中繼,"
																								中繼成功
															
															
						",1.0,4.0,14.0,0,0,0,0,0,1,0.0,0.0,1.0,2.0,0.00,0.0,0.0,0.0,0.0,14.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-04-14,4,
鄭鈞仁,04/15(6),樂天,中繼,"
																								中繼成功
															
															
						",1.0,4.0,17.0,1,0,1,0,0,0,0.0,0.0,1.0,1.0,0.00,0.0,0.0,0.0,0.0,17.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-04-15,6,
黃竣彥,04/15(6),樂天,中繼,"
																								無
															
															
						",1.0,6.0,24.0,2,0,1,1,1,1,0.0,0.0,2.0,0.0,3.00,0.0,0.0,0.0,0.0,24.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-04-15,6,
林其緯,04/15(6),樂天,中繼,"
																								無
															
															
						",0.6666660000000001,4.0,13.0,1,0,1,0,0,0,0.0,0.0,1.0,1.0,0.00,0.0,0.0,0.0,0.0,13.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-04-15,6,
林航,04/15(6),樂天,中繼,"
																								中繼成功
															
															
						",1.0,3.0,10.0,0,0,0,0,0,0,0.0,0.0,0.0,3.0,0.00,0.0,0.0,0.0,0.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-04-15,6,
羅國華,04/15(5),中信兄弟,中繼,"
																								無
															
															
						",1.0,5.0,12.0,2,0,0,1,1,0,0.0,0.0,1.0,2.0,9.00,0.0,0.0,0.0,0.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-04-15,5,
陳鴻文,04/15(5),中信兄弟,後援,"
															勝
															
						",2.3333330000000005,12.0,52.0,4,1,2,1,1,0,1.0,0.0,2.0,3.0,2.70,0.0,0.0,0.0,0.0,52.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-04-15,5,
陳仕朋,04/15(5),中信兄弟,先發,"
																								無
															
															
						",5.0,25.0,94.0,8,0,2,4,4,3,0.0,0.0,6.0,6.0,7.20,0.0,0.0,0.0,0.0,94.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-04-15,5,
謝榮豪,04/15(5),富邦,後援,"
																								無
															
															
						",0.6666660000000001,2.0,6.0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,6.75,0.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-04-15,5,
潘威倫,04/15(6),樂天,先發,"
																								無
															
															
						",5.333332999999999,25.0,79.0,9,4,4,6,6,0,0.0,0.0,5.0,7.0,10.12,0.0,0.0,0.0,0.0,79.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-04-15,6,
陳韻文,04/15(6),樂天,中繼,"
																								無
															
															
						",1.0,5.0,20.0,2,1,1,1,1,0,1.0,0.0,0.0,1.0,3.86,0.0,0.0,0.0,1.0,20.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-04-15,6,
劉軒荅,04/15(6),樂天,後援,"
															敗
															
						",1.0,5.0,22.0,1,1,0,1,1,1,0.0,0.0,2.0,1.0,6.75,0.0,0.0,0.0,0.0,22.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-04-15,6,
蘇俊璋,04/15(6),統一7-ELEVEn,中繼,"
																								中繼成功
															
															
						",0.6666660000000001,3.0,10.0,1,0,1,0,0,0,0.0,0.0,1.0,0.0,0.00,0.0,0.0,0.0,0.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-04-15,6,
吳俊偉,04/15(5),富邦,中繼,"
																								中繼成功
															
															
						",0.6666660000000001,4.0,11.0,1,0,1,0,0,1,0.0,0.0,0.0,1.0,0.00,0.0,0.0,0.0,0.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-04-15,5,
黃恩賜,04/15(5),富邦,先發,"
																								無
															
															
						",6.0,27.0,99.0,8,1,7,4,3,1,0.0,0.0,5.0,6.0,4.50,0.0,0.0,0.0,0.0,99.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-04-15,5,
李振昌,04/15(5),富邦,中繼,"
																								無
															
															
						",1.3333330000000003,5.0,17.0,2,0,1,1,1,0,0.0,0.0,1.0,1.0,2.70,0.0,0.0,0.0,1.0,17.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-04-15,5,
王尉永,04/15(5),中信兄弟,中繼,"
																								無
															
															
						",1.0,3.0,12.0,1,0,0,0,0,0,0.0,0.0,2.0,0.0,0.00,0.0,0.0,0.0,0.0,12.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-04-15,5,
蔡齊哲,04/15(5),富邦,中繼,"
																								無
															
															
						",1.0,4.0,18.0,1,0,0,0,0,0,0.0,0.0,1.0,2.0,0.00,0.0,0.0,0.0,0.0,18.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-04-15,5,
陳禹勳,04/15(6),統一7-ELEVEn,中繼,"
																								無
															
															
						",1.0,6.0,22.0,3,2,3,2,2,0,0.0,0.0,0.0,0.0,18.00,0.0,0.0,0.0,1.0,22.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-04-15,6,
王躍霖,04/15(6),統一7-ELEVEn,中繼,"
																								無
															
															
						",1.3333330000000003,6.0,28.0,2,0,2,0,0,0,0.0,0.0,1.0,1.0,0.00,0.0,0.0,0.0,0.0,28.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-04-15,6,
卡本特,04/15(6),統一7-ELEVEn,先發,"
																								無
															
															
						",6.0,24.0,89.0,7,1,4,5,5,0,0.0,0.0,5.0,8.0,7.50,0.0,0.0,0.0,0.0,89.0,59.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-04-15,6,
林柏佑,04/15(6),統一7-ELEVEn,後援,"
															勝
															
						",1.0,4.0,14.0,0,0,2,0,0,0,0.0,0.0,1.0,1.0,0.00,0.0,0.0,0.0,0.0,14.0,11.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-04-15,6,
霸能,04/15(6),統一7-ELEVEn,中繼,"
																								無
															
															
						",1.6666659999999998,9.0,41.0,2,0,3,1,0,1,0.0,0.0,1.0,2.0,0.00,0.0,0.0,0.0,0.0,41.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-04-15,6,
范玉禹,04/15(5),中信兄弟,中繼,"
																								無
															
															
						",1.0,4.0,11.0,1,0,1,0,0,0,0.0,0.0,0.0,2.0,0.00,0.0,0.0,0.0,1.0,11.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-04-15,5,
林羿豪,04/15(5),中信兄弟,中繼,"
																								中繼成功
															
															
						",0.6666660000000001,4.0,17.0,1,0,0,0,0,2,0.0,0.0,0.0,1.0,0.00,0.0,0.0,0.0,0.0,17.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-04-15,5,
鄭凱文,04/15(5),富邦,中繼,"
															敗
															
						",1.3333330000000003,7.0,28.0,3,0,1,2,2,0,0.0,0.0,1.0,2.0,27.00,0.0,0.0,0.0,0.0,28.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-04-15,5,
黃子鵬,04/15(6),統一7-ELEVEn,中繼,"
																								中繼成功
															
															
						",0.33333300000000005,2.0,6.0,0,0,0,0,0,1,0.0,0.0,0.0,1.0,0.00,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-04-15,6,
洛奇,04/16(7),樂天,先發,"
															敗
															
						",4.666666000000001,23.0,80.0,9,1,1,6,6,2,0.0,0.0,3.0,8.0,11.57,0.0,0.0,0.0,0.0,80.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-04-16,7,
江國謙,04/16(7),統一7-ELEVEn,後援,"
																								無
															
															
						",2.0,8.0,23.0,2,0,0,1,1,0,0.0,0.0,2.0,4.0,4.50,0.0,0.0,0.0,0.0,23.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-04-16,7,
王玉譜,04/16(7),樂天,中繼,"
																								無
															
															
						",0.6666660000000001,5.0,24.0,1,0,1,2,1,2,0.0,0.0,0.0,1.0,9.00,0.0,0.0,0.0,0.0,24.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-04-16,7,
王溢正,04/16(7),統一7-ELEVEn,先發,"
															勝
															
						",7.0,27.0,96.0,4,2,6,2,2,2,0.0,1.0,7.0,7.0,2.57,0.0,0.0,0.0,0.0,96.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-04-16,7,
邱浩鈞,04/16(7),樂天,中繼,"
																								無
															
															
						",1.3333330000000003,8.0,26.0,1,1,2,4,4,3,0.0,0.0,2.0,0.0,27.00,0.0,0.0,0.0,0.0,26.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-04-16,7,
林其緯,04/16(7),樂天,後援,"
																								無
															
															
						",1.3333330000000003,8.0,33.0,3,1,1,3,3,1,0.0,0.0,2.0,1.0,13.50,0.0,0.0,0.0,0.0,33.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-04-16,7,
江辰晏,04/17(8),中信兄弟,先發,"
															敗
															
						",6.0,25.0,81.0,5,0,5,3,1,2,0.0,0.0,9.0,4.0,1.50,0.0,0.0,0.0,0.0,81.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-04-17,8,
羅國華,04/17(9),樂天,中繼,"
															敗
															
						",0.6666660000000001,5.0,18.0,3,1,0,2,2,0,0.0,0.0,1.0,1.0,16.20,0.0,0.0,0.0,1.0,18.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-04-17,9,
黃竣彥,04/17(8),中信兄弟,後援,"
																								無
															
															
						",2.0,7.0,21.0,2,0,2,0,0,0,0.0,0.0,2.0,1.0,1.80,0.0,0.0,0.0,0.0,21.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-04-17,8,
羅傑斯,04/17(8),統一7-ELEVEn,先發,"
															勝
															
						",7.0,28.0,121.0,6,0,11,1,1,1,0.0,1.0,4.0,5.0,1.29,0.0,0.0,0.0,0.0,121.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-04-17,8,
蘇俊璋,04/17(9),富邦,中繼,"
															勝
															
						",1.0,4.0,18.0,1,1,0,1,1,0,0.0,0.0,3.0,0.0,5.40,0.0,0.0,0.0,0.0,18.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-04-17,9,
林航,04/17(8),中信兄弟,中繼,"
																								無
															
															
						",0.0,3.0,6.0,1,0,0,3,0,0,0.0,0.0,0.0,2.0,0.00,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-04-17,8,
吳俊偉,04/17(8),統一7-ELEVEn,中繼,"
																								無
															
															
						",1.0,3.0,13.0,0,0,2,0,0,0,0.0,0.0,1.0,0.0,0.00,0.0,0.0,0.0,0.0,13.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-04-17,8,
黃子鵬,04/17(9),富邦,中繼,"
																								無
															
															
						",1.3333330000000003,5.0,20.0,0,0,1,0,0,1,0.0,0.0,1.0,2.0,0.00,0.0,0.0,0.0,0.0,20.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-04-17,9,
王尉永,04/17(9),樂天,中繼,"
																								中繼成功
															
															
						",1.3333330000000003,6.0,24.0,1,1,3,2,1,1,0.0,0.0,0.0,1.0,3.86,0.0,0.0,0.0,0.0,24.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-04-17,9,
威拉諾,04/17(9),富邦,先發,"
																								無
															
															
						",4.0,21.0,79.0,8,2,3,8,8,1,0.0,0.0,8.0,1.0,18.00,0.0,0.0,0.0,0.0,79.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-04-17,9,
謝榮豪,04/17(8),統一7-ELEVEn,後援,"
																								無
															
															
						",1.0,4.0,15.0,1,0,0,0,0,1,0.0,0.0,1.0,1.0,3.86,0.0,0.0,0.0,0.0,15.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-04-17,8,
伍鐸,04/17(9),樂天,先發,"
																								無
															
															
						",5.0,24.0,96.0,9,2,3,6,6,0,0.0,0.0,3.0,9.0,10.80,0.0,0.0,0.0,0.0,96.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-04-17,9,
范玉禹,04/17(9),樂天,中繼,"
																								無
															
															
						",0.33333300000000005,3.0,11.0,1,0,0,1,1,0,1.0,0.0,1.0,0.0,6.75,0.0,0.0,0.0,1.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-04-17,9,
陳禹勳,04/17(9),富邦,後援,"
																								救援成功
															
															
						",1.0,6.0,21.0,2,0,1,0,0,1,0.0,0.0,1.0,1.0,9.00,0.0,0.0,0.0,0.0,21.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-04-17,9,
林逸翔,04/17(9),富邦,中繼,"
																								無
															
															
						",1.6666659999999998,8.0,36.0,2,1,2,1,1,1,0.0,0.0,2.0,1.0,5.40,0.0,0.0,0.0,0.0,36.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-04-17,9,
吳世豪,04/17(9),樂天,後援,"
																								無
															
															
						",0.6666660000000001,2.0,13.0,0,0,1,0,0,0,0.0,0.0,0.0,1.0,0.00,0.0,0.0,0.0,0.0,13.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-04-17,9,
蘇俊璋,04/18(11),富邦,中繼,"
																								無
															
															
						",0.6666660000000001,3.0,16.0,1,0,2,0,0,0,0.0,0.0,0.0,0.0,3.86,0.0,0.0,0.0,0.0,16.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-04-18,11,
李振昌,04/18(10),統一7-ELEVEn,後援,"
																								無
															
															
						",1.0,3.0,11.0,0,0,0,0,0,0,0.0,0.0,2.0,1.0,2.08,0.0,0.0,0.0,0.0,11.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-04-18,10,
江國豪,04/18(11),樂天,先發,"
															敗
															
						",5.333332999999999,26.0,103.0,8,0,4,6,4,1,0.0,0.0,6.0,7.0,6.75,0.0,0.0,0.0,0.0,103.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-04-18,11,
吳俊偉,04/18(10),統一7-ELEVEn,中繼,"
																								中繼成功
															
															
						",1.0,3.0,8.0,0,0,1,0,0,0,0.0,0.0,0.0,2.0,0.00,0.0,0.0,0.0,0.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-04-18,10,
黃亦志,04/18(11),樂天,中繼,"
																								無
															
															
						",0.0,3.0,11.0,3,1,0,3,3,0,0.0,0.0,0.0,0.0,∞,0.0,0.0,0.0,0.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-04-18,11,
林柏佑,04/18(11),富邦,中繼,"
																								無
															
															
						",0.33333300000000005,5.0,35.0,4,0,0,3,3,0,0.0,0.0,0.0,1.0,20.25,0.0,0.0,0.0,0.0,35.0,24.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-04-18,11,
吳世豪,04/18(11),樂天,中繼,"
																								無
															
															
						",1.0,6.0,33.0,1,0,3,1,1,2,0.0,0.0,0.0,0.0,5.40,0.0,0.0,0.0,0.0,33.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-04-18,11,
霸能,04/18(11),富邦,先發,"
															勝
															
						",7.0,27.0,108.0,4,1,7,2,2,2,0.0,0.0,6.0,8.0,2.08,0.0,0.0,0.0,0.0,108.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-04-18,11,
鄭鈞仁,04/18(10),中信兄弟,後援,"
																								無
															
															
						",2.0,7.0,26.0,2,1,3,2,2,0,0.0,0.0,1.0,1.0,4.91,0.0,0.0,0.0,0.0,26.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-04-18,10,
陳禹勳,04/18(11),富邦,後援,"
																								救援成功
															
															
						",0.33333300000000005,1.0,7.0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,7.71,0.0,0.0,0.0,0.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-04-18,11,
王躍霖,04/18(11),富邦,中繼,"
																								無
															
															
						",0.6666660000000001,7.0,26.0,3,0,0,4,4,1,0.0,1.0,1.0,1.0,18.00,0.0,0.0,0.0,0.0,26.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-04-18,11,
費爾本,04/18(10),中信兄弟,先發,"
															敗
															
						",6.0,26.0,85.0,7,0,3,4,3,3,0.0,0.0,3.0,10.0,3.18,0.0,0.0,0.0,0.0,85.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-04-18,10,
范玉禹,04/18(11),樂天,中繼,"
																								無
															
															
						",0.6666660000000001,4.0,15.0,2,0,1,2,2,1,0.0,0.0,0.0,0.0,13.50,0.0,0.0,0.0,0.0,15.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-04-18,11,
米蘭達,04/18(10),統一7-ELEVEn,先發,"
															勝
															
						",7.0,27.0,104.0,3,0,10,2,2,1,0.0,1.0,5.0,7.0,2.25,0.0,0.0,0.0,0.0,104.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-04-18,10,
羅國華,04/18(11),樂天,後援,"
																								無
															
															
						",1.0,5.0,10.0,2,0,0,0,0,1,0.0,0.0,1.0,1.0,10.12,0.0,0.0,0.0,0.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-04-18,11,
王玉譜,04/18(10),中信兄弟,中繼,"
																								無
															
															
						",0.0,2.0,10.0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,9.00,0.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-04-18,10,
陳禹勳,04/19(13),富邦,後援,"
																								救援成功
															
															
						",0.33333300000000005,2.0,11.0,0,0,1,0,0,1,0.0,0.0,0.0,0.0,6.75,0.0,0.0,0.0,0.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-04-19,13,
謝榮豪,04/19(12),統一7-ELEVEn,後援,"
																								無
															
															
						",0.6666660000000001,3.0,9.0,1,0,0,0,0,0,0.0,0.0,2.0,0.0,3.00,0.0,0.0,0.0,0.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-04-19,12,
索沙,04/19(13),樂天,先發,"
															敗
															
						",7.0,29.0,106.0,7,0,4,3,2,0,0.0,1.0,4.0,13.0,1.93,0.0,0.0,0.0,0.0,106.0,73.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-04-19,13,
德保拉,04/19(12),統一7-ELEVEn,先發,"
															敗
															
						",6.0,29.0,107.0,8,0,8,4,4,1,0.0,0.0,2.0,10.0,4.15,0.0,0.0,0.0,0.0,107.0,69.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-04-19,12,
翁瑋均,04/19(13),富邦,先發,"
															勝
															
						",7.0,28.0,99.0,3,0,5,1,1,2,0.0,0.0,5.0,13.0,1.29,0.0,0.0,0.0,0.0,99.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-04-19,13,
蔡齊哲,04/19(12),統一7-ELEVEn,中繼,"
																								無
															
															
						",0.33333300000000005,5.0,23.0,2,1,0,3,2,0,0.0,1.0,2.0,0.0,4.15,0.0,0.0,0.0,0.0,23.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-04-19,12,
鄭凱文,04/19(12),統一7-ELEVEn,中繼,"
																								無
															
															
						",1.0,3.0,15.0,0,0,1,0,0,0,0.0,0.0,1.0,1.0,16.88,0.0,0.0,0.0,0.0,15.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-04-19,12,
